item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
0b71f68b29 S 040;0b71f68b29;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
1fb14777b4 S 040;1fb14777b4;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
966308bfdc S 040;966308bfdc;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
4584b4011a S 040;4584b4011a;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
468531f3b8 S 040;468531f3b8;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
e93d91d105 E 060;e93d91d105;20X20;0;E 060;200;200;12;18;19,8;200;200;216;1;60;200;200;248,4;19,8;F;60;616;800;1200;1188;134
e93d91d105 N 060;e93d91d105;20X20;0;N 060;200;200;12;18;19,8;200;200;216;1;60;200;200;248,4;19,8;F;60;616;800;1200;1188;134
e93d91d105 S 060;e93d91d105;20X20;0;S 060;200;200;12;18;19,8;200;200;216;1;60;200;200;248,4;19,8;F;60;616;800;1200;1188;134
0dc35d2c7f S 015;0dc35d2c7f;60X120 SP;1;S 015;600;1200;20;1;33,35;600;1200;20;3;5;600;1200;69;100,05;A;15;339;630;1230;500,25;161
0dc35d2c7f N 035;0dc35d2c7f;60X120 SP;1;N 035;600;1200;20;1;33,35;600;1200;20;5;7;600;1200;115;166,75;W;35;599;870;123;1167,25;141
07fab608c1 S 015;07fab608c1;60X120 SP;1;S 015;600;1200;20;1;33,35;600;1200;20;3;5;600;1200;69;100,05;A;15;339;630;1230;500,25;161
07fab608c1 N 035;07fab608c1;60X120 SP;1;N 035;600;1200;20;1;33,35;600;1200;20;5;7;600;1200;115;166,75;W;35;599;870;123;1167,25;141
10e1f46d75 S 015;10e1f46d75;60X120 SP;1;S 015;600;1200;20;1;33,35;600;1200;20;3;5;600;1200;69;100,05;A;15;339;630;1230;500,25;161
