item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
a657c71c26 N 036;a657c71c26;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
a657c71c26 S 036;a657c71c26;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
8176acca79 N 036;8176acca79;45X90;0;N 036;450;900;9;3;24,1;450;900;27;4;9;450;900;124,2;96,4;B;36;446;1010;1200;867,6;134
8176acca79 S 036;8176acca79;45X90;0;S 036;450;900;9;3;24,1;450;900;27;4;9;450;900;124,2;96,4;B;36;446;1010;1200;867,6;134
9a6d1501f2 S 040;9a6d1501f2;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
10e68e9f6c S 040;10e68e9f6c;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
cb3faa9453 S 040;cb3faa9453;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
34cd7758f5 S 040;34cd7758f5;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
c6f4df1b65 S 040;c6f4df1b65;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
12e63d4fe3 S 040;12e63d4fe3;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
c44ac002b2 S 040;c44ac002b2;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
286f1984b7 S 040;286f1984b7;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
8d87c9e14a S 040;8d87c9e14a;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
f70d945b5e N 040;f70d945b5e;30X60;0;N 040;300;600;9;6;24,38;300;600;54;0;inf;300;600;0;0;9;40;-134;800;1200;975,2;134
f70d945b5e S 040;f70d945b5e;30X60;0;S 040;300;600;9;6;24,38;300;600;54;2;20;300;600;124,2;48,76;F;40;601;800;1200;975,2;134
af5267b351 N 036;af5267b351;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
af5267b351 S 036;af5267b351;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
01fbb8d2b4 N 036;01fbb8d2b4;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
01fbb8d2b4 S 036;01fbb8d2b4;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
4fbb8334c6 N 036;4fbb8334c6;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
4fbb8334c6 S 036;4fbb8334c6;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
dd0435ca75 N 036;dd0435ca75;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
dd0435ca75 S 036;dd0435ca75;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
a189f79ac8 N 036;a189f79ac8;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
a189f79ac8 S 036;a189f79ac8;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
6c0229e509 N 036;6c0229e509;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
